username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KatieVenae;2019-10-19 08:11;0;4;"Today I am moderating a @ LWVGT panel on the state of education funding in Arizona with David Lujan, Lisa Cervantes, and John J. Pedicone. Join us at 10am (9:30 for coffee) at the Joel Valdez Library meeting room! # RedForEdAZ # ArizonaSchools # TucsonTeachers";;@;# # #;"1185574164310061056";https://twitter.com/KatieVenae/status/1185574164310061056
jlpoober;2019-10-17 19:40;0;2;"I have 38-40 in each of my high school Spanish classes. Now that’s a scary stat! # RedForEdAZ Now imagine providing even the basics for that many students! Even more scary!! # clearthelists has been a huge help! https://www.donorschoose.org/project/odds-ends/4224840/?utm_source=dc&utm_medium=directlink&utm_campaign=teacherhub&utm_term=teacher_4751344&rf=directlink-dc-2019-10-teacherhub-teacher_4751344&challengeid=20995710 …pic.twitter.com/NSBbyfPTBW";;;# #;"1185022858000400384";https://twitter.com/jlpoober/status/1185022858000400384
kmdaigle3;2019-10-12 09:11;0;0;"kindergarten and keep vital elective programs running for high school and middle school students. A yes vote would help ensure a better future for amphi students and educators. I’m more than happy to answer questions! # publiceducation # redforedaz";;;# #;"1183052592282255361";https://twitter.com/kmdaigle3/status/1183052592282255361
Davie_St;2019-10-11 14:22;0;4;"Fix our state K-12 and university education systems. # RedForEdAZ";;;#;"1182768500630179842";https://twitter.com/Davie_St/status/1182768500630179842
Davie_St;2019-09-26 15:02;0;1;"Time to fix our K-12 and university education systems so that we are attracting **and retaining** the best people and jobs for our state! # RedForEdAZ https://twitter.com/Garrett_Archer/status/1177309996414930944 …";;;#;"1177342585163005952";https://twitter.com/Davie_St/status/1177342585163005952
LizaNoland;2019-09-26 13:35;0;1;"LETTER TO MY SON'S TEACHER If you asked me one month ago for my perception of teachers in the # Arizona # publicschool system, I would have scoffed, rolled my eyes, and launched into my usual rhetoric about my son being set up to fail... # redforedaz https://www.localfirstazfoundation.org/whats-new/2019/a-letter-to-my-sons-teacher …";;;# # #;"1177320898224779265";https://twitter.com/LizaNoland/status/1177320898224779265
lady_tmac;2019-09-12 19:17;0;1;"Yes!!! Better secretary of eduction!!! # DemDebate # RedForEd # redforedaz";;;# # #;"1172333543038439424";https://twitter.com/lady_tmac/status/1172333543038439424
Davie_St;2019-08-14 14:09;0;0;"And yet our governor and our legislature don’t seem to mind. # RedForEdAZ";;;#;"1161746736756482055";https://twitter.com/Davie_St/status/1161746736756482055
Davie_St;2019-08-08 16:08;0;1;"I’m at 7% total raise so far...of a Ducey-promised 15%. It’s a really nice improvement, but not anywhere near what the public has been told we’ve gotten. # RedForEdAZ";;;#;"1159602383904620544";https://twitter.com/Davie_St/status/1159602383904620544
Davie_St;2019-08-08 16:05;0;1;"Teachers in the Pendergast ESD got a raise this year...1%. Who’s bragging about that?! # RedForEdAZ";;;#;"1159601577952366592";https://twitter.com/Davie_St/status/1159601577952366592
IamMsPierce;2019-08-07 19:06;0;1;"# redfored # redforedaz # isupportdreamers https://www.instagram.com/p/B04rihAB-CPcaeteDsT98xdeJ8bmnKm4u5HHFc0/?igshid=s5cir0uyyg7a …";;;# # #;"1159284770049859586";https://twitter.com/IamMsPierce/status/1159284770049859586
IKE_DEVJI;2019-08-01 09:45;0;4;"And think of what else could have been done for underfunded AZ schools without the drain of charter school fraud and corruption. # Red4EdAZ # RedForEdAZ";;;# #;"1156969163581087745";https://twitter.com/IKE_DEVJI/status/1156969163581087745
MitziEpstein;2019-07-30 08:03;12;29;"It's a sad state of education funding when the state is not even providing enough paper for schools. That has been AZ teachers' plight for many, many years. # RedForEdAz. https://twitter.com/marisolgarciaaz/status/1155907766021545986 …";;;#;"1156218685050126341";https://twitter.com/MitziEpstein/status/1156218685050126341
Davie_St;2019-06-28 12:59;0;2;"Hey @ Google, Arizona schools, students, and teachers desperately need that funding. Please consider donating $8 million a year to AZ K-12 and university schools and causes to offset this tax break giveaway. # RedForEdAZ https://twitter.com/DavidLujan/status/1144691475814522880 …";;@;#;"1144696832204738560";https://twitter.com/Davie_St/status/1144696832204738560
Dalessandro4AZ;2019-05-24 11:09;0;0;"Thank you Jenn Huerta. It was so nice speaking with you yesterday and meeting your daughters. Grateful to all the # RedforEdAZ # Red4Ed # RedForEd supporters who stand with us as we support PUBLIC schools, educators and their students.pic.twitter.com/F5gDHFsFC6 – bei Arizona State Senate";;;# # #;"1131985512837730304";https://twitter.com/Dalessandro4AZ/status/1131985512837730304
